地区,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
北京,43.72,43.8,40.7,39.497,37.54,34.355,32.815,37.37,33.117,34.315,32.379,24.257,20.751,18.35,19.376,19.401,16.385,16.27,13.77,11.4,8.2
天津,28.13,25.2,25.5,24.338,20.973,19.78,19.613,15.85,16.522,14.055,13.436,11.253,7.846,7.173,7.815,7.562,6.488,7.57,4.91,5.4,3.6
河北,8.61,8.9,7.9,7.338,6.705,6.748,6.539,5.53,4.203,4.402,4.291,2.729,2.244,1.808,1.593,1.424,1.81,2.26,2.35,1.7,0.8
山西,11.29,11.5,11,10.296,9.634,9.832,9.928,5.99,5.606,5.461,4.484,3.76,2.459,2.084,2.593,2.746,2.254,2.08,1.98,1.7,1.7
内蒙古,13.56,11.7,11.7,9.528,9.481,8.535,7.899,6.92,6.42,5.612,5.308,4.552,2.136,2.178,2.369,2.006,2.995,2.29,1.93,1.8,1.6
辽宁,14.34,12.6,12.4,10.55,10.799,10.282,10.142,7.5,6.276,5.516,5.864,5.948,4.825,4.79,3.672,3.589,3.552,2.94,3.35,1.5,1.3
吉林,12.09,10.6,10.8,9.256,8.842,8.044,8.138,7.25,6.724,6.217,5.606,4.648,3.679,2.912,2.723,2.395,2.996,2.32,2.28,2.5,2.2
黑龙江,11.59,9.3,10,8.396,8.643,8.949,8.571,4.63,4.355,3.356,3.864,3.916,2.542,1.958,1.968,2.448,2.702,1.39,1.59,1.5,1.8
上海,34.22,32.2,31.2,30.879,29.793,28.046,26.76,23.25,18.499,17.751,16.386,15.676,15.943,14.529,13.459,14.455,10.54,10.56,7.89,7,7.3
江苏,13.61,13.1,13,12.562,11.704,11.32,10.926,7.09,6.673,6.22,5.963,4.852,2.797,2.32,2.268,2.78,2.754,1.81,2.05,1.2,1.5
浙江,13.71,14.7,15.1,13.974,13.895,12.741,12.341,9.72,8.259,8.248,6.836,5.028,4.19,3.311,3.366,3.757,2.351,3.75,2.74,2.6,1
安徽,9.36,8.3,8.5,6.693,5.638,6.096,5.949,4.8,4.058,4.017,3.169,2.788,1.179,1.143,0.851,1.109,1.534,1.68,1.51,0.9,1.3
福建,12.71,11.5,11,11.084,9.883,9.395,9.052,8.11,7.827,7.234,7.213,4.276,3.063,2.991,2.759,2.035,2.425,2.25,1.89,2.2,2.1
江西,8.35,7.5,6.7,5.777,4.983,4.835,5.327,4.14,3.777,2.984,3.158,2.49,2.383,2.045,2.972,2.127,1.403,1.45,2.21,0.7,1
山东,9.9,8.9,9.2,7.546,7.181,6.756,6.445,7.49,6.66,5.663,5.395,3.496,2.169,1.985,1.519,1.676,1.673,2.18,2.07,1.7,1.3
河南,7.03,7.3,7.3,5.193,4.953,5.08,5.149,4.57,3.656,3.141,3.023,2.163,1.358,1.033,0.893,0.955,1.464,1.45,0.7,1.6,1.5
湖北,10.42,9.5,9.4,8.469,7.617,7.468,7.643,6.07,4.863,5.463,5.66,3.569,2.539,2.681,2.503,3.133,2.003,1.58,1.31,1.3,1.4
湖南,9.52,9.3,9.2,7.336,7.139,6.984,6.673,5.53,4.771,5.205,5.116,2.66,2.102,1.67,1.658,1.914,1.653,1.45,1.04,1.4,1.2
广东,11.96,10.8,10.8,8.438,7.859,7.611,7.594,5.78,5.638,4.395,4.681,4.27,2.725,3.366,2.972,2.694,2.505,1.95,1.91,2.3,1.5
广西,7.89,6.7,6.5,5.411,5.596,5.308,5.386,3.26,2.991,2.914,2.691,2.677,1.471,1.022,1.084,1.26,1.46,1.63,1.8,0.9,0.8
海南,11.11,9.6,9.1,7.784,6.721,6.456,6.275,6.94,5.029,5.534,4.395,3.381,1.702,1.884,1.548,1.976,2.174,1.83,2.2,1,1.3
重庆,11.51,11,11.1,8.781,8.671,8.562,8.406,5.77,5.543,5.239,4.66,4.246,1.736,1.329,1.003,1.859,1.823,1.27,1.06,1,1.1
四川,8.34,8.1,8.1,5.459,5.48,5.444,5.005,3.88,4.265,3.832,3.378,2.561,2.046,1.041,1.484,1.093,1.37,1.05,1.32,1.3,1.3
贵州,7.58,7.3,7.3,5.579,5.332,5.032,4.159,3.79,3.652,2.951,3.378,2.616,1.347,1.393,1.128,0.896,1.364,1.85,2.54,1.2,1.3
云南,8,7,6.9,4.889,4.871,4.67,4.968,4.62,4.242,3.588,3.684,2.628,1.002,0.907,1.143,1.106,1.273,1.54,0.58,0.7,0.7
西藏,10.56,7.4,7.6,7.521,5.777,5.79,4.194,3,2.589,3.422,8.639,3.057,0,0,0,0,0.2,0,0.07,0,0.1
陕西,11.16,10.5,10.3,9.343,8.897,8.323,7.579,8.41,7.182,6.798,5.987,3.841,3.282,3.178,2.343,2.443,2.649,3.04,2.25,1,1.3
甘肃,9.97,8.1,8.6,7.689,7.101,6.77,6.594,6.06,5.761,4.749,4.494,2.968,1.877,1.694,1.211,0.783,1.545,2.18,1.51,0.8,1.1
青海,12.57,11.7,11.4,10.533,9.045,8.637,7.97,7.2,6.776,6.769,7.033,4.62,4.147,3.109,3.088,2.401,3.035,1.81,1.88,1.4,1.1
宁夏,12.99,12.8,12.9,10.61,10.149,10.262,8.684,6.67,5.169,5.436,6.038,4.827,3.141,3.043,2.851,3.076,2.99,2.97,1.66,1.4,1.9
新疆,10.18,11.7,11.7,12.139,11.462,11.233,10.654,5.97,6.849,5.893,5.072,4.689,3.152,3.677,3.405,3.839,3.567,3.45,4.95,3.5,2